DISTRITO_LOCAL,SECCION,TOTAL_VOTANTES,MORENAv,ALIANZAv,LN,VOTOS,PARTICIPACION,MORENA,ALIANZA,DIF,CLASF
1,0652,544,234,256,412,547,132.76699029126215,42.77879341864717,46.80073126142596,-4.02193784277879,ALIANZA
1,0654,107,37,47,280,107,38.214285714285715,34.57943925233645,43.925233644859816,-9.345794392523366,ALIANZA
1,0655,189,79,81,490,191,38.97959183673469,41.361256544502616,42.40837696335078,-1.0471204188481664,ALIANZA
1,0656,365,119,213,782,376,48.08184143222506,31.648936170212767,56.648936170212764,-24.999999999999996,ALIANZA
1,0657,377,113,241,830,386,46.506024096385545,29.27461139896373,62.43523316062176,-33.160621761658035,ALIANZA
1,0658,393,181,182,800,410,51.25,44.146341463414636,44.390243902439025,-0.24390243902438868,ALIANZA
1,0659,168,66,87,388,171,44.07216494845361,38.59649122807018,50.87719298245614,-12.280701754385959,ALIANZA
1,0660,448,185,205,1057,457,43.23557237464522,40.481400437636765,44.85776805251641,-4.376367614879648,ALIANZA
1,0662,204,77,109,584,212,36.3013698630137,36.320754716981135,51.41509433962264,-15.094339622641506,ALIANZA
1,0663,84,33,40,216,89,41.2037037037037,37.07865168539326,44.943820224719104,-7.865168539325843,ALIANZA
1,0665,279,91,151,666,285,42.792792792792795,31.92982456140351,52.98245614035088,-21.052631578947366,ALIANZA
1,0666,268,88,155,601,274,45.590682196339436,32.11678832116788,56.56934306569343,-24.45255474452555,ALIANZA
1,0667,225,91,116,591,229,38.74788494077834,39.737991266375545,50.65502183406114,-10.917030567685593,ALIANZA
1,0668,505,203,239,1487,510,34.29724277067922,39.80392156862745,46.86274509803921,-7.058823529411761,ALIANZA
1,0669,369,176,152,1086,384,35.35911602209945,45.833333333333336,39.583333333333336,6.25,MORENA
1,0670,1190,440,388,3599,1213,33.70380661294804,36.27370156636439,31.986809563066778,4.286892003297609,MORENA
1,0671,183,63,111,382,191,50,32.98429319371728,58.1151832460733,-25.130890052356023,ALIANZA
1,0673,130,46,62,389,127,32.64781491002571,36.22047244094488,48.818897637795274,-12.598425196850393,ALIANZA
1,0675,180,68,80,539,183,33.95176252319109,37.15846994535519,43.71584699453552,-6.5573770491803245,ALIANZA
1,0676,322,144,149,872,335,38.41743119266055,42.985074626865675,44.47761194029851,-1.492537313432834,ALIANZA
1,0678,424,192,180,1197,432,36.090225563909776,44.44444444444444,41.666666666666664,2.7777777777777786,MORENA
1,0679,385,187,139,1092,383,35.07326007326007,48.825065274151434,36.29242819843342,12.532637075718014,MORENA
1,0680,628,311,223,1767,635,35.93661573288059,48.976377952755904,35.118110236220474,13.85826771653543,MORENA
1,0681,786,371,267,2900,812,28,45.689655172413794,32.881773399014776,12.807881773399018,MORENA
1,0682,140,80,47,448,143,31.919642857142858,55.94405594405595,32.86713286713287,23.07692307692308,MORENA
1,0683,321,153,121,978,323,33.02658486707566,47.36842105263158,37.461300309597526,9.907120743034056,MORENA
1,0684,251,124,96,870,265,30.45977011494253,46.79245283018868,36.22641509433962,10.566037735849058,MORENA
1,0685,251,104,114,608,251,41.2828947368421,41.43426294820717,45.418326693227094,-3.984063745019924,ALIANZA
1,0686,216,84,96,585,220,37.60683760683761,38.18181818181818,43.63636363636363,-5.454545454545453,ALIANZA
1,0687,125,55,51,419,130,31.026252983293556,42.30769230769231,39.23076923076923,3.076923076923073,MORENA
1,0688,318,155,112,976,326,33.40163934426229,47.54601226993865,34.355828220858896,13.190184049079754,MORENA
1,0689,309,160,111,762,316,41.46981627296588,50.63291139240506,35.12658227848101,15.506329113924053,MORENA
1,0690,388,187,136,1113,395,35.489667565139264,47.34177215189873,34.43037974683544,12.911392405063289,MORENA
1,0692,510,131,100,931,290,31.149301825993554,45.172413793103445,34.48275862068966,10.689655172413786,MORENA
1,0693,261,116,96,810,269,33.20987654320987,43.12267657992565,35.687732342007436,7.4349442379182165,MORENA
1,0694,167,89,45,561,167,29.768270944741534,53.293413173652695,26.94610778443114,26.347305389221557,MORENA
1,0695,277,156,60,1067,289,27.085285848172447,53.97923875432526,20.761245674740483,33.21799307958477,MORENA
