SECCION,TOTAL_VOTANTES,MORENAv,ALIANZAv,LN,VOTOS,PARTICIPACION,MORENA,ALIANZA,DIF,CLASF
0336,2273,968,635,6763,2304,34.06772142540293,42.013888888888886,27.56076388888889,14.453124999999996,MORENA
0337,877,389,212,2527,879,34.78432924416304,44.254835039817976,24.118316268486918,20.13651877133106,MORENA
0338,1901,731,677,5786,1921,33.20082958866229,38.05309734513274,35.24206142634045,2.8110359187922924,MORENA
0339,1320,526,445,3362,1353,40.24390243902439,38.876570583887656,32.88987435328899,5.9866962305986675,MORENA
0340,2778,1093,865,7504,2743,36.55383795309169,39.84688297484506,31.53481589500547,8.31206707983959,MORENA
0341,5627,1886,2357,13259,5652,42.62764914397768,33.368719037508846,41.70205237084218,-8.333333333333336,ALIANZA
0342,1408,506,515,3436,1438,41.850989522700814,35.18776077885953,35.813630041724615,-0.6258692628650877,ALIANZA
0343,2420,855,988,5365,2454,45.740913327120225,34.84107579462103,40.26079869600652,-5.419722901385491,ALIANZA
0344,4679,865,3141,6924,4739,68.44309647602542,18.252795948512343,66.2798058662165,-48.02700991770416,ALIANZA
0345,1533,554,566,3188,1564,49.05897114178168,35.42199488491048,36.18925831202046,-0.767263427109981,ALIANZA
0346,411,219,97,1062,424,39.92467043314501,51.65094339622642,22.87735849056604,28.77358490566038,MORENA
0347,846,387,234,2219,859,38.71113114015322,45.0523864959255,27.240977881257276,17.81140861466822,MORENA
0348,452,208,122,1235,457,37.00404858299595,45.51422319474836,26.695842450765863,18.818380743982498,MORENA
0349,158,77,41,486,163,33.53909465020576,47.239263803680984,25.153374233128833,22.08588957055215,MORENA
0350,237,105,50,747,241,32.26238286479251,43.56846473029046,20.74688796680498,22.821576763485478,MORENA
0351,581,264,155,1765,591,33.48441926345609,44.67005076142132,26.22673434856176,18.443316412859563,MORENA
0353,204,106,55,528,213,40.34090909090909,49.76525821596244,25.821596244131456,23.943661971830984,MORENA
0354,228,137,50,621,231,37.19806763285024,59.307359307359306,21.645021645021647,37.66233766233766,MORENA
0356,500,192,169,1178,508,43.12393887945671,37.79527559055118,33.267716535433074,4.527559055118104,MORENA
0357,647,277,218,1684,663,39.37054631828978,41.77978883861237,32.880844645550525,8.898944193061844,MORENA
0358,649,334,170,1583,658,41.56664560960202,50.75987841945289,25.835866261398177,24.924012158054712,MORENA
0359,2646,621,1474,4471,2695,60.27734287631402,23.042671614100186,54.69387755102041,-31.65120593692022,ALIANZA
0360,926,372,393,1939,946,48.78803506962352,39.323467230443974,41.54334038054968,-2.2198731501057054,ALIANZA
0361,433,187,129,987,446,45.18743667679838,41.92825112107624,28.923766816143498,13.004484304932738,MORENA
0362,274,108,96,713,279,39.130434782608695,38.70967741935484,34.40860215053763,4.301075268817208,MORENA
0363,316,121,101,692,316,45.664739884393065,38.29113924050633,31.962025316455698,6.329113924050635,MORENA
0364,597,230,200,1235,608,49.23076923076923,37.828947368421055,32.89473684210526,4.934210526315795,MORENA
0365,779,270,160,1586,624,39.34426229508197,43.26923076923077,25.641025641025642,17.628205128205124,MORENA
0367,534,210,171,1316,538,40.88145896656535,39.03345724907063,31.78438661710037,7.249070631970259,MORENA
0368,400,196,93,854,411,48.12646370023419,47.688564476885645,22.62773722627737,25.060827250608273,MORENA
0369,521,225,160,1350,537,39.77777777777778,41.899441340782126,29.7951582867784,12.104283054003727,MORENA
0370,556,221,203,1332,566,42.492492492492495,39.04593639575972,35.86572438162544,3.180212014134277,MORENA
0371,433,174,143,983,440,44.760935910478125,39.54545454545455,32.5,7.045454545454547,MORENA
0372,552,247,140,1177,556,47.23874256584537,44.42446043165467,25.179856115107913,19.24460431654676,MORENA
0373,632,256,269,1452,706,48.62258953168044,36.26062322946176,38.10198300283286,-1.841359773371103,ALIANZA
0374,2477,1185,645,8229,2523,30.65986146554867,46.9678953626635,25.564803804994053,21.403091557669445,MORENA
0375,1149,461,349,2598,1167,44.91916859122402,39.502999143101974,29.905741216795203,9.59725792630677,MORENA
0376,582,248,195,1192,595,49.91610738255034,41.680672268907564,32.773109243697476,8.907563025210088,MORENA
0377,603,233,200,1341,617,46.01043997017151,37.763371150729334,32.414910858995135,5.348460291734199,MORENA
0378,637,232,235,1372,656,47.8134110787172,35.36585365853659,35.823170731707314,-0.4573170731707279,ALIANZA
0379,555,203,181,1288,564,43.7888198757764,35.99290780141844,32.09219858156028,3.9007092198581574,MORENA
0380,410,135,175,709,414,58.39210155148096,32.608695652173914,42.270531400966185,-9.66183574879227,ALIANZA
0381,501,178,164,1125,516,45.86666666666667,34.49612403100775,31.782945736434108,2.7131782945736447,MORENA
0382,662,259,213,1433,679,47.3831123517097,38.144329896907216,31.36966126656848,6.774668630338734,MORENA
0383,342,142,107,707,348,49.222065063649225,40.804597701149426,30.74712643678161,10.057471264367816,MORENA
0384,538,224,151,1224,554,45.26143790849673,40.43321299638989,27.256317689530686,13.176895306859205,MORENA
0385,406,152,143,707,406,57.42574257425743,37.4384236453202,35.22167487684729,2.216748768472911,MORENA
0386,864,284,313,1590,884,55.59748427672956,32.126696832579185,35.40723981900452,-3.2805429864253384,ALIANZA
0387,1034,350,418,1837,1054,57.37615677735438,33.20683111954459,39.6584440227704,-6.451612903225808,ALIANZA
0388,297,106,92,485,302,62.2680412371134,35.09933774834437,30.4635761589404,4.63576158940397,MORENA
0389,613,247,222,1203,628,52.20282626766417,39.3312101910828,35.35031847133758,3.980891719745223,MORENA
0390,861,331,277,1761,884,50.19875070982396,37.44343891402715,31.334841628959275,6.108597285067873,MORENA
0392,1099,304,565,1697,1115,65.70418385385975,27.26457399103139,50.672645739910315,-23.408071748878925,ALIANZA
0393,819,225,395,1244,824,66.2379421221865,27.305825242718445,47.93689320388349,-20.631067961165048,ALIANZA
0394,824,244,357,1486,840,56.527590847913864,29.047619047619047,42.5,-13.452380952380953,ALIANZA
