AYUNTAMIENTOS
"07/06/2021 13:19 (UTC-7)"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATÁLOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
3748,3787,39,3748,100.0000,3257,86.8996,22.3852,491,1895749,834884,831581,44.0397

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,CC_PAN_PRI_PRD,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,CAND_IND_EGL,CAND_IND_JAUR,CAND_IND_JRRBC,CAND_IND_EQJ,CAND_IND_CNY,CAND_IND_YCCL,CAND_IND_HJSA,CAND_IND_OOG,CAND_IND_PMR,CAND_IND_CAQR,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'260001B0100,'260001B01004,26,SONORA,001,ACONCHI,0001,0001,B,0,2,4,168,430,0,430,-,1,120,-,-,177,110,14,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,430,430,554,48,,1,I,3312f28953525455f8d418e1239f332ec1de0fce9502d8685f34b44926d7c434,"07/06/2021 01:53:00","07/06/2021 05:02:57","07/06/2021 05:04:14",CATD,MOVIL,"ACTA PREP"
'260001C0100,'260001C01004,26,SONORA,001,ACONCHI,0001,0001,C,0,2,4,181,417,0,416,-,0,97,-,-,153,153,10,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,416,416,553,48,,1,I,fab1a3cc392f7b43feb34197a251a89f414d9078ed33f973b142673b04433527,"07/06/2021 02:04:00","07/06/2021 05:03:26","07/06/2021 05:03:30",CATD,MOVIL,"ACTA PREP"
'260001C0200,'260001C02004,26,SONORA,001,ACONCHI,0001,0002,C,0,2,4,174,422,1,423,-,2,105,-,-,166,133,9,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,423,423,553,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,cdcf59cbd0c7b07fad17a8d72fb5ebbc3da8043d403cf5bcf30af75f99baf593,"07/06/2021 02:09:00","07/06/2021 05:07:19","07/06/2021 05:07:32",CATD,MOVIL,"ACTA PREP"
'260002B0100,'260002B01004,26,SONORA,001,ACONCHI,0002,0001,B,0,2,4,0,0,0,0,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,415,48,"TODO ILEGIBLE O SIN DATO",0,I,92e4b296e9d53ab2e69d0eff787b2d93b2d42a54c222f6dc144fac73b2a5aac8,"07/06/2021 01:35:00","07/06/2021 04:47:21","07/06/2021 04:47:21",CATD,MOVIL,"ACTA PREP"
'260002C0100,'260002C01004,26,SONORA,001,ACONCHI,0002,0001,C,0,2,4,0,0,0,0,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,415,48,"TODO ILEGIBLE O SIN DATO",0,I,5ae79b8424cafba8ce1ceb2d667f7e1a5804b6fc645803df7ff85d5c3baa607b,"07/06/2021 01:37:00","07/06/2021 04:47:52","07/06/2021 04:47:52",CATD,MOVIL,"ACTA PREP"
'260003B0100,'260003B01004,26,SONORA,002,"AGUA PRIETA",0003,0001,B,0,1,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,648,48,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"07/06/2021 01:10:00","07/06/2021 02:08:16","07/06/2021 02:08:16",CATD,ESCANER,"ACTA PREP"
'260003C0100,'260003C01004,26,SONORA,002,"AGUA PRIETA",0003,0001,C,0,1,4,423,264,5,269,-,47,12,0,4,3,9,85,-,73,12,5,7,1,-,-,-,-,-,-,-,-,2,0,0,0,0,9,269,269,647,48,,1,D,719b23cee840dd970d338afd28dafdb7adda9464f53e32acecdad5acdc2a5dfb,"06/06/2021 23:20:27","07/06/2021 01:29:10","07/06/2021 01:29:15",CASILLA,MOVIL,"ACTA PREP"
'260004B0100,'260004B01004,26,SONORA,002,"AGUA PRIETA",0004,0001,B,0,1,4,236,158,6,0,-,25,1,0,1,1,5,65,-,35,9,2,5,3,-,-,-,-,-,-,-,-,0,0,0,0,0,3,164,155,356,48,,1,D,9e331bc980c4e7bf2360e20a37157bb56f7e1689b9fac44e2d2e7f46675f0e61,"06/06/2021 22:44:00","07/06/2021 01:08:28","07/06/2021 01:09:00",CATD,ESCANER,"ACTA PREP"
'260005B0100,'260005B01004,26,SONORA,002,"AGUA PRIETA",0005,0001,B,0,1,4,382,290,0,290,-,74,14,0,10,0,6,93,-,61,12,1,10,2,-,-,-,-,-,-,-,-,88,0,0,0,0,7,290,378,628,48,,1,D,3913027272b40147f8347449535bbc0cac7919838d6e002ca1a56af47fd398e5,"06/06/2021 21:33:00","06/06/2021 21:49:17","06/06/2021 21:49:21",CATD,ESCANER,"ACTA PREP"
'260006B0100,'260006B01004,26,SONORA,002,"AGUA PRIETA",0006,0001,B,0,1,4,399,258,9,266,-,61,15,1,3,0,4,88,-,56,14,2,12,0,-,-,-,-,-,-,-,-,3,1,0,0,0,6,266,266,630,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,74820de1ab5fa7644bef802a564f782441475bae90487a4cd390c18cd740e059,"07/06/2021 23:49:00","07/06/2021 00:16:23","07/06/2021 00:17:12",CATD,ESCANER,"ACTA PREP"
'260006C0100,'260006C01004,26,SONORA,002,"AGUA PRIETA",0006,0001,C,0,1,4,409,260,4,265,-,43,20,5,8,3,6,74,-,61,19,0,11,3,-,-,-,-,-,-,-,-,6,"Sin dato","Sin dato","Sin dato",6,0,265,265,629,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,0157d26559dfb9b61fa32465b1ab9edc46ccd5c3225e860d3c46dbb162ab853f,"06/06/2021 23:26:00","06/06/2021 23:53:40","06/06/2021 23:53:46",CATD,ESCANER,"ACTA PREP"
'260007B0100,'260007B01004,26,SONORA,002,"AGUA PRIETA",0007,0001,B,0,1,4,459,292,6,292,-,52,31,"Sin dato",2,3,13,83,-,62,11,2,12,9,-,-,-,-,-,-,-,-,6,"Sin dato","Sin dato","Sin dato",0,6,292,292,707,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,ecc33b276870f8ab255aab051b66a71390dd2a42670cbacfd8e4d2129e6f843d,"06/06/2021 21:43:53","06/06/2021 21:53:01","06/06/2021 21:53:06",CASILLA,MOVIL,"ACTA PREP"
'260007C0100,'260007C01004,26,SONORA,002,"AGUA PRIETA",0007,0001,C,0,1,4,440,304,6,309,-,50,31,2,6,1,13,104,-,60,18,1,8,7,-,-,-,-,-,-,-,-,4,0,0,0,0,4,309,309,706,48,,1,D,9372e831635b4cb6c46359d8d2907f1817c46f21ff6400b23190569745e3b976,"07/06/2021 00:40:00","07/06/2021 03:49:15","07/06/2021 03:49:20",CATD,ESCANER,"ACTA PREP"
'260008B0100,'260008B01004,26,SONORA,002,"AGUA PRIETA",0008,0001,B,0,1,4,397,310,5,315,-,36,16,5,9,7,6,121,-,67,18,5,12,4,-,-,-,-,-,-,-,-,6,0,0,0,0,3,315,315,668,48,,1,D,a2923db9176ccab5216822845dd3307c7cbad6ad90abb17b8b99833572ae0004,"07/06/2021 00:48:00","07/06/2021 02:17:27","07/06/2021 02:22:15",CATD,ESCANER,"ACTA PREP"
'260008C0100,'260008C01004,26,SONORA,002,"AGUA PRIETA",0008,0001,C,0,1,4,404,305,4,0,-,65,15,3,6,3,8,97,-,75,13,3,11,1,-,-,-,-,-,-,-,-,5,1,0,0,0,3,309,309,668,48,,1,D,5437fcc61901b8ef4c0971dca103823bc90212be5ead23a7f5548b117edaf629,"07/06/2021 03:14:00","07/06/2021 05:48:12","07/06/2021 05:49:09",CATD,ESCANER,"ACTA PREP"
'260008C0200,'260008C02004,26,SONORA,002,"AGUA PRIETA",0008,0002,C,0,1,4,410,300,1,301,-,52,16,7,3,0,8,102,-,66,16,1,12,1,-,-,-,-,-,-,-,-,7,2,2,0,0,6,301,301,667,48,,1,D,3c76888cd6730ab5dcb025f2f0602de12dc012c1dd6799758c78d693d15f9772,"07/06/2021 01:53:00","07/06/2021 04:18:04","07/06/2021 04:20:04",CATD,ESCANER,"ACTA PREP"
'260008C0300,'260008C03004,26,SONORA,002,"AGUA PRIETA",0008,0003,C,0,1,4,405,298,6,303,-,43,20,5,10,2,4,108,-,66,17,0,10,6,-,-,-,-,-,-,-,-,7,0,0,0,0,5,303,303,667,48,,1,D,999ec5a7157ddf0c5618d7ddce334d8449026f4392cdb31a9c6a3a45d3f3c737,"07/06/2021 01:50:00","07/06/2021 02:26:12","07/06/2021 02:26:36",CATD,ESCANER,"ACTA PREP"
'260009B0100,'260009B01004,26,SONORA,002,"AGUA PRIETA",0009,0001,B,0,1,4,408,321,0,321,-,41,17,5,12,4,4,108,-,84,17,3,8,7,-,-,-,-,-,-,-,-,7,0,0,0,0,4,321,321,684,48,,1,D,b3d55eea2c2cb5ac6be107b109790d355e3f3e3040ac85e7d562a3463e467b81,"06/06/2021 22:45:01","06/06/2021 23:52:53","06/06/2021 23:53:45",CASILLA,MOVIL,"ACTA PREP"
'260009C0100,'260009C01004,26,SONORA,002,"AGUA PRIETA",0009,0001,C,0,1,4,419,308,0,308,-,28,23,3,11,3,4,113,-,71,14,3,15,5,-,-,-,-,-,-,-,-,9,"Sin dato","Sin dato",1,0,5,308,308,684,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,2507ea95841c2213cca81f88d145178a89a7e7f93ef17bf1219c95f41912d9ea,"06/06/2021 22:59:54","07/06/2021 00:42:37","07/06/2021 00:43:31",CASILLA,MOVIL,"ACTA PREP"
'260009C0200,'260009C02004,26,SONORA,002,"AGUA PRIETA",0009,0002,C,0,1,4,423,299,6,0,-,39,19,0,6,9,7,101,-,80,19,0,6,3,-,-,-,-,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,8,305,297,684,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,8ae34a175d0800f3b0fdf483e065bc0ac5edfb38dae3ab5212391d653d086c09,"06/06/2021 22:03:31","07/06/2021 00:38:52","07/06/2021 00:39:08",CASILLA,MOVIL,"ACTA PREP"
'260009C0300,'260009C03004,26,SONORA,002,"AGUA PRIETA",0009,0003,C,0,1,4,412,316,3,316,-,41,13,3,15,3,12,101,-,68,16,4,10,5,-,-,-,-,-,-,-,-,5,0,0,0,0,12,316,308,684,48,,1,D,699d7f65ffd97a4b6275e8f0eba8e2894bf33a7be147f692a0ff6a9df93df142,"07/06/2021 00:35:00","07/06/2021 02:52:07","07/06/2021 02:52:15",CATD,ESCANER,"ACTA PREP"
'260010B0100,'260010B01004,26,SONORA,002,"AGUA PRIETA",0010,0001,B,0,1,4,403,262,5,269,-,39,8,5,8,2,5,101,-,50,18,4,16,6,-,-,-,-,-,-,-,-,2,0,0,0,0,5,269,269,625,48,,1,D,602e84209e8ff58fcd6268add595da19841eb88b58fc3662e733e5a710424fbb,"07/06/2021 01:18:00","07/06/2021 02:17:53","07/06/2021 02:18:17",CATD,ESCANER,"ACTA PREP"
'260010C0100,'260010C01004,26,SONORA,002,"AGUA PRIETA",0010,0001,C,0,1,4,372,289,8,296,-,38,13,2,1,4,6,117,-,72,17,2,9,6,-,-,-,-,-,-,-,-,4,0,0,0,0,5,296,296,624,48,,1,D,d755a85339047a91e5dc1951d72220a594b7911715ae28863af9be4d6b3fd30a,"07/06/2021 00:27:00","07/06/2021 01:02:14","07/06/2021 01:02:20",CATD,ESCANER,"ACTA PREP"
'260010C0200,'260010C02004,26,SONORA,002,"AGUA PRIETA",0010,0002,C,0,1,4,388,274,6,284,-,31,17,5,10,2,5,106,-,64,15,1,15,6,-,-,-,-,-,-,-,-,3,0,0,0,0,4,284,284,624,48,,1,D,a950a67135ff76e4b1c695701078c17932b44ab85a8c95868058f64e7f0fc9ba,"07/06/2021 00:34:00","07/06/2021 01:00:39","07/06/2021 01:00:58",CATD,ESCANER,"ACTA PREP"
'260010C0300,'260010C03004,26,SONORA,002,"AGUA PRIETA",0010,0003,C,0,1,4,367,298,4,0,-,33,13,0,10,1,8,113,-,69,22,0,11,5,-,-,-,-,-,-,-,-,4,0,0,0,0,5,294,294,624,48,,1,D,c4a652ccd76369d38ec47813b5094f54cb2f21b9f98f756316e0e29e4165f060,"06/06/2021 22:18:25","06/06/2021 22:52:31","06/06/2021 22:52:39",CASILLA,MOVIL,"ACTA PREP"
'260011B0100,'260011B01004,26,SONORA,002,"AGUA PRIETA",0011,0001,B,0,1,4,401,324,2,327,-,42,18,4,2,0,4,142,-,71,11,1,17,5,-,-,-,-,-,-,-,-,3,1,0,0,0,6,327,327,680,48,,1,D,b6729589e43982202e2d9838cebeaf365fcee8430d7b52505ae235afd8609b96,"06/06/2021 21:58:34","06/06/2021 22:18:37","06/06/2021 22:18:41",CASILLA,MOVIL,"ACTA PREP"
'260011C0100,'260011C01004,26,SONORA,002,"AGUA PRIETA",0011,0001,C,0,1,4,0,404,0,320,-,45,23,3,9,3,4,101,-,80,9,3,0,10,-,-,-,-,-,-,-,-,4,1,0,0,0,6,320,301,679,48,,1,D,d38d0e228dbaeafa4041f1712e6fc2a007994e6187998bbb38560187035cbcf0,"06/06/2021 22:48:03","07/06/2021 00:17:53","07/06/2021 00:19:30",CASILLA,MOVIL,"ACTA PREP"
'260012B0100,'260012B01004,26,SONORA,002,"AGUA PRIETA",0012,0001,B,0,1,4,373,250,7,0,-,35,13,3,1,3,5,107,-,55,4,1,8,7,-,-,-,-,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,8,0,250,579,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,37ac88fec5af53de873125d516399b11a273bed6cc6e9273a86db8ac65ee3638,"06/06/2021 21:27:03","06/06/2021 21:34:37","06/06/2021 21:35:02",CASILLA,MOVIL,"ACTA PREP"
'260012C0100,'260012C01004,26,SONORA,002,"AGUA PRIETA",0012,0001,C,0,1,4,363,247,5,260,-,39,15,3,5,2,9,80,-,82,8,1,8,0,-,-,-,-,-,-,-,-,0,0,0,0,0,8,260,260,579,48,,1,D,6585cd1bb89247dea1d7b0a1f77c0c2497a89221158ff443560686bcdc90cba2,"06/06/2021 21:44:00","07/06/2021 00:25:00","07/06/2021 00:26:09",CATD,ESCANER,"ACTA PREP"
'260013B0100,'260013B01004,26,SONORA,002,"AGUA PRIETA",0013,0001,B,0,1,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547,48,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"06/06/2021 23:44:00","07/06/2021 02:02:33","07/06/2021 02:02:33",CATD,ESCANER,"ACTA PREP"
'260013C0100,'260013C01004,26,SONORA,002,"AGUA PRIETA",0013,0001,C,0,1,4,350,241,6,239,-,22,8,2,7,1,15,82,-,64,14,2,6,8,-,-,-,-,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,8,239,239,547,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,547ee98eb5cd5d00aa883cb21aa4db967a571ebc8af52901c1a2b655c116bdfa,"07/06/2021 23:16:00","07/06/2021 00:10:54","07/06/2021 00:11:10",CATD,ESCANER,"ACTA PREP"
'260014B0100,'260014B01004,26,SONORA,002,"AGUA PRIETA",0014,0001,B,0,1,4,348,263,6,268,-,35,9,1,8,3,7,80,-,89,11,3,6,3,-,-,-,-,-,-,-,-,5,1,0,0,0,7,268,268,573,48,,1,D,e7ac221b624b8e1669be9cdde65f4a3ab4bec01b12b2c7cf0d85f3d1bffcc364,"07/06/2021 01:46:00","07/06/2021 04:52:53","07/06/2021 04:53:18",CATD,ESCANER,"ACTA PREP"
'260014C0100,'260014C01004,26,SONORA,002,"AGUA PRIETA",0014,0001,C,0,1,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,572,48,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"07/06/2021 05:01:00","07/06/2021 06:06:52","07/06/2021 06:06:52",CATD,ESCANER,"ACTA PREP"
'260014C0200,'260014C02004,26,SONORA,002,"AGUA PRIETA",0014,0002,C,0,1,4,339,228,9,0,-,35,11,5,4,1,9,70,-,72,7,1,8,8,-,-,-,-,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,0,0,231,572,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,6271916b5b51eb71640dd8e7fc8258fcb2701152f92e51ea993c3cd780539da7,"07/06/2021 01:45:00","07/06/2021 04:53:14","07/06/2021 04:53:51",CATD,ESCANER,"ACTA PREP"
'260014S0100,'260014S01004e,26,SONORA,002,"AGUA PRIETA",0014,0001,S,0,1,4e,0,0,0,27,-,1,1,"Sin dato","Sin dato",1,3,9,-,11,"Sin dato","Sin dato",1,"Sin dato",-,-,-,-,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,0,27,27,0,48,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,0c2a1daf671330b7c5a1b6401c73adfe7bc54b5ff3124e5f00476859c5f042fd,"07/06/2021 01:39:00","07/06/2021 04:57:39","07/06/2021 04:57:45",CATD,ESCANER,"ACTA PREP"
