"DIPUTACIONES LOCALES (INCLUYE RESULTADOS DE MAYORIA RELATIVA Y REPRESENTACION PROPORCIONAL)"
"07/06/2021 13:19 (UTC-7)"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATÁLOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
3773,3804,31,3773,100.0000,3166,83.9120,23.0585,607,1841000,809615,803712,43.9769

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,CC_PAN_PRI_PRD,CC_MORENA_PT_PVEM_NA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,CAND_IND_JHZM,CAND_IND_JME,CAND_IND_CSVB,CAND_IND_JTVG,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'260652B0100,'260652B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0652,0001,B,0,1,3,351,102,4,102,-,-,14,24,"Sin dato",3,6,7,39,-,2,"Sin dato",7,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,1,103,103,412,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,d8c697dabb9c43bb523c251672154f6a9461ee6394c08ccdd052ad79a8e097d9,"06/06/2021 22:55:00","06/06/2021 23:29:41","06/06/2021 23:29:58",CATD,ESCANER,"ACTA PREP"
'260652C0100,'260652C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0652,0001,C,0,1,3,340,112,4,112,-,-,15,30,1,3,5,7,36,-,1,1,3,-,-,-,-,3,2,0,0,0,5,112,112,412,44,,1,D,2e1a0492f36d6e8e1cbb39a2556522a76227b57c45d20e4de8597cd5e69427fa,"06/06/2021 22:54:00","06/06/2021 23:26:46","06/06/2021 23:27:09",CATD,ESCANER,"ACTA PREP"
'260652S0100,'260652S01003EMR,26,SONORA,001,"SAN LUIS RIO COLORADO",0652,0001,S,0,1,3EMR,600,86,0,86,-,-,6,34,4,2,1,5,21,-,1,2,0,-,-,-,-,0,0,0,0,0,10,86,86,0,44,,1,D,a22160ca738c134f8ee43a8b5aaf244dca41e51cc762d56cedfc80abbe29eba6,"07/06/2021 01:10:00","07/06/2021 02:38:23","07/06/2021 02:38:36",CATD,ESCANER,"ACTA PREP"
'260653B0100,'260653B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0653,0001,B,0,1,3,140,75,10,85,-,-,12,29,0,0,0,4,29,-,2,0,5,-,-,-,-,3,"Sin dato","Sin dato","Sin dato",0,1,85,85,181,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,6766d4c14633c80dce886052c7dbf0d7cec2d51a57c4698d7f4fe4d71f70b488,"06/06/2021 22:48:00","06/06/2021 23:29:27","06/06/2021 23:29:43",CATD,ESCANER,"ACTA PREP"
'260654B0100,'260654B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0654,0001,B,0,1,3,217,107,5,107,-,-,18,25,0,1,2,11,35,-,6,1,4,-,-,-,-,0,0,0,0,1,3,107,107,280,44,,1,D,51f4e4d274cfe6aef453df6ae9e482fb8c9ded7dbaf71900ad84eb61c09fa0df,"06/06/2021 20:19:12","06/06/2021 20:22:59","06/06/2021 20:23:26",CASILLA,MOVIL,"ACTA PREP"
'260655B0100,'260655B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0655,0001,B,0,1,3,344,191,2,191,-,-,30,50,0,5,6,13,67,-,5,0,11,-,-,-,-,0,0,0,0,0,4,191,191,490,44,,1,D,221904f7740e860f1adf98ea0721218663338a64484c89576d9090565c0d07e0,"06/06/2021 22:04:40","07/06/2021 00:42:08","07/06/2021 00:42:19",CASILLA,MOVIL,"ACTA PREP"
'260656B0100,'260656B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0656,0001,B,0,1,3,244,189,2,193,-,-,64,47,2,1,1,7,40,-,10,1,10,-,-,-,-,6,1,0,0,0,3,193,193,391,44,,1,D,ec3af9afbe78a9891fcf0936e6ed2e71031f699b4ca002a45ff32d7214c823bb,"07/06/2021 00:03:00","07/06/2021 02:01:44","07/06/2021 02:01:49",CATD,ESCANER,"ACTA PREP"
'260656C0100,'260656C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0656,0001,C,0,1,3,255,176,4,176,-,-,31,51,2,3,4,12,60,-,1,0,6,-,-,-,-,3,0,0,0,0,5,178,178,391,44,,1,D,e13df22c2511bb09c11b5c3246b6cc794a8ae3ae894f3d50b3420ddd5dbaec75,"07/06/2021 23:37:00","07/06/2021 00:36:09","07/06/2021 00:36:30",CATD,ESCANER,"ACTA PREP"
'260657B0100,'260657B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0657,0001,B,0,1,3,277,176,6,182,-,-,39,56,1,5,4,8,49,-,3,0,8,-,-,-,-,3,1,1,0,0,4,182,182,415,44,,1,D,d091ed373ab658a8ff56869fb7daabcf1c00726c237cc5077855d0af423d364b,"07/06/2021 00:00:00","07/06/2021 00:36:11","07/06/2021 00:36:36",CATD,ESCANER,"ACTA PREP"
'260657C0100,'260657C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0657,0001,C,0,1,3,254,200,7,204,-,-,41,49,2,1,5,18,55,-,6,0,12,-,-,-,-,6,3,0,0,1,5,204,204,415,44,,1,D,147c9359cfba24309628d8858140eebb6e9cdce37d9a8a26249cb50d4ef6263e,"06/06/2021 20:51:13","06/06/2021 20:55:26","06/06/2021 20:55:38",CASILLA,MOVIL,"ACTA PREP"
'260658B0100,'260658B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0658,0001,B,0,1,3,257,180,6,187,-,-,34,38,1,2,4,10,64,-,9,0,16,-,-,-,-,7,0,0,0,0,2,187,187,400,44,,1,D,eeae05c8648d11206fc801a044c2da619068138565c00662ae28db706138bcf8,"07/06/2021 02:11:00","07/06/2021 03:20:48","07/06/2021 03:20:59",CATD,ESCANER,"ACTA PREP"
'260658C0100,'260658C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0658,0001,C,0,1,3,267,167,167,176,-,-,41,41,3,4,2,11,45,-,7,0,11,-,-,-,-,7,1,0,0,0,3,176,176,400,44,,1,D,68e9e4aac1214c4b98c8f2520fbd23aeba5014c4c1c2e1814f6627a152548649,"07/06/2021 01:51:00","07/06/2021 02:27:25","07/06/2021 02:27:55",CATD,ESCANER,"ACTA PREP"
'260659B0100,'260659B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0659,0001,B,0,1,3,0,239,188,187,-,-,45,43,0,3,2,6,64,-,3,1,6,-,-,-,-,12,0,"Sin dato","Sin dato",0,6,187,191,389,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,98452eeb2f7aed2f94f5ca540148e11f1183e880806e309b066cab997c20fcd6,"07/06/2021 02:24:00","07/06/2021 03:14:06","07/06/2021 03:14:24",CATD,ESCANER,"ACTA PREP"
'260659C0100,'260659C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0659,0001,C,0,1,3,262,166,3,169,-,-,25,36,0,5,4,9,56,-,11,1,7,-,-,-,-,11,0,0,0,0,4,169,169,388,44,,1,D,229f4b38814bba7aee30d3798cd5a483ab16251aec262f720be913df23a9e862,"07/06/2021 03:11:00","07/06/2021 03:14:20","07/06/2021 03:14:34",CATD,ESCANER,"ACTA PREP"
'260660B0100,'260660B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0660,0001,B,0,1,3,350,213,8,222,-,-,49,41,1,5,5,22,80,-,7,0,8,-,-,-,-,2,1,0,0,0,1,222,222,529,44,,1,D,3537b298b458e2729586695b6fc1940e600b6218275f5dec1afa22e3a8aac1d6,"07/06/2021 02:01:00","07/06/2021 03:09:10","07/06/2021 03:10:50",CATD,ESCANER,"ACTA PREP"
'260660C0100,'260660C01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0660,0001,C,0,1,3,337,232,0,0,-,-,45,43,0,6,6,28,82,-,8,2,8,-,-,-,-,0,1,0,0,0,3,232,232,528,44,,1,D,dbfd2808328664f8ff1515938bf2494e71a9bcb04f5a84cf7d1f1fb3e59f9c1a,"07/06/2021 02:01:00","07/06/2021 03:14:59","07/06/2021 03:15:04",CATD,ESCANER,"ACTA PREP"
'260662B0100,'260662B01003,26,SONORA,001,"SAN LUIS RIO COLORADO",0662,0001,B,0,1,3,416,204,8,211,-,-,45,50,0,5,6,9,65,-,14,1,8,-,-,-,-,5,0,0,0,1,2,211,211,584,44,,1,D,f9f02fe2dd2da36643fd3f10ee71b229286495759990286113eebf9ba15e6c74,"06/06/2021 21:12:02","06/06/2021 21:15:06","06/06/2021 21:15:20",CASILLA,MOVIL,"ACTA PREP"
